date,Jetblue,Motel6,Jetblue_pred,Motel6_pred
2020-12-15 00:00:00 UTC,5949,29542,,
2020-12-16 00:00:00 UTC,5815,44262,,
2020-12-17 00:00:00 UTC,6224,7660,,
2020-12-18 00:00:00 UTC,4733,53058,,
2020-12-19 00:00:00 UTC,4010,19831,,
2020-12-20 00:00:00 UTC,4360,32307,,
2020-12-21 00:00:00 UTC,4686,58662,,
2020-12-22 00:00:00 UTC,4431,55415,,
2020-12-23 00:00:00 UTC,3933,18465,,
2020-12-24 00:00:00 UTC,3102,15745,,
2020-12-25 00:00:00 UTC,3043,52695,,
2020-12-26 00:00:00 UTC,4081,52660,,
2020-12-27 00:00:00 UTC,4006,35876,,
2020-12-28 00:00:00 UTC,5676,22254,,
2020-12-29 00:00:00 UTC,5267,50435,,
2020-12-30 00:00:00 UTC,4762,43971,,
2020-12-31 00:00:00 UTC,3728,32606,,
2021-01-01 00:00:00 UTC,3703,14594,,
2021-01-02 00:00:00 UTC,4280,62513,,
2021-01-03 00:00:00 UTC,4405,56928,,
2021-01-04 00:00:00 UTC,5598,14985,,
2021-01-05 00:00:00 UTC,6163,59432,,
2021-01-06 00:00:00 UTC,4879,60478,,
2021-01-07 00:00:00 UTC,4772,5962,,
2021-01-08 00:00:00 UTC,4438,27438,,
2021-01-09 00:00:00 UTC,3804,9138,,
2021-01-10 00:00:00 UTC,4489,12720,,
2021-01-11 00:00:00 UTC,6086,24808,,
2021-01-12 00:00:00 UTC,5848,10272,,
2021-01-13 00:00:00 UTC,5694,58816,,
2021-01-14 00:00:00 UTC,4608,39968,,
2021-01-15 00:00:00 UTC,4293,56234,,
2021-01-16 00:00:00 UTC,3726,28763,,
2021-01-17 00:00:00 UTC,3637,56561,,
2021-01-18 00:00:00 UTC,4348,12864,,
2021-01-19 00:00:00 UTC,4942,38306,,
2021-01-20 00:00:00 UTC,4615,49217,,
2021-01-21 00:00:00 UTC,21266,25797,,
2021-01-22 00:00:00 UTC,25570,48115,,
2021-01-23 00:00:00 UTC,21258,57725,,
2021-01-24 00:00:00 UTC,23563,39723,,
2021-01-25 00:00:00 UTC,30703,63057,,
2021-01-26 00:00:00 UTC,33904,53081,,
2021-01-27 00:00:00 UTC,31009,45870,,
2021-01-28 00:00:00 UTC,30204,49313,,
2021-01-29 00:00:00 UTC,27905,39023,,
2021-01-30 00:00:00 UTC,24505,31172,,
2021-01-31 00:00:00 UTC,28112,53218,,
2021-02-01 00:00:00 UTC,36805,49921,,
2021-02-02 00:00:00 UTC,34405,51542,,
2021-02-03 00:00:00 UTC,33406,43425,,
2021-02-04 00:00:00 UTC,32004,43228,,
2021-02-05 00:00:00 UTC,29774,35398,,
2021-02-06 00:00:00 UTC,24510,47391,,
2021-02-07 00:00:00 UTC,25145,58264,,
2021-02-08 00:00:00 UTC,36031,36972,,
2021-02-09 00:00:00 UTC,41439,50827,,
2021-02-10 00:00:00 UTC,39574,42328,,
2021-02-11 00:00:00 UTC,43175,48427,,
2021-02-12 00:00:00 UTC,33759,34997,,
2021-02-13 00:00:00 UTC,26395,47222,,
2021-02-14 00:00:00 UTC,27909,35969,,
2021-02-15 00:00:00 UTC,39782,62115,,
2021-02-16 00:00:00 UTC,44173,61990,,
2021-02-17 00:00:00 UTC,45852,46554,,
2021-02-18 00:00:00 UTC,47392,50430,,
2021-02-19 00:00:00 UTC,41754,46400,,
2021-02-20 00:00:00 UTC,31384,36004,,
2021-02-21 00:00:00 UTC,37349,55751,,
2021-02-22 00:00:00 UTC,48267,48700,,
2021-02-23 00:00:00 UTC,51436,60719,,
2021-02-24 00:00:00 UTC,50113,54776,,
2021-02-25 00:00:00 UTC,45926,45976,,
2021-02-26 00:00:00 UTC,39598,62247,,
2021-02-27 00:00:00 UTC,35321,51617,,
2021-02-28 00:00:00 UTC,40712,61283,,
2021-03-01 00:00:00 UTC,58693,65231,,
2021-03-02 00:00:00 UTC,62031,64989,,
2021-03-03 00:00:00 UTC,55800,58457,,
2021-03-04 00:00:00 UTC,48143,49977,,
2021-03-05 00:00:00 UTC,41782,49331,,
2021-03-06 00:00:00 UTC,36522,51355,,
2021-03-07 00:00:00 UTC,42279,64565,,
2021-03-08 00:00:00 UTC,55087,58156,,
2021-03-09 00:00:00 UTC,62653,65074,,
2021-03-10 00:00:00 UTC,60197,62731,,
2021-03-11 00:00:00 UTC,56008,56708,,
2021-03-12 00:00:00 UTC,45582,52204,,
2021-03-13 00:00:00 UTC,35811,48518,,
2021-03-14 00:00:00 UTC,41305,52434,,
2021-03-15 00:00:00 UTC,66485,52434,,
2021-03-16 00:00:00 UTC,66230,52434,,
2021-03-17 00:00:00 UTC,61990,64759,,
2021-03-18 00:00:00 UTC,56891,57066,,
2021-03-19 00:00:00 UTC,49338,63611,,
2021-03-20 00:00:00 UTC,35702,51699,,
2021-03-21 00:00:00 UTC,39560,64248,,
2021-03-22 00:00:00 UTC,56329,63416,,
2021-03-23 00:00:00 UTC,59180,63467,,
2021-03-24 00:00:00 UTC,57282,58436,,
2021-03-25 00:00:00 UTC,53966,56021,,
2021-03-26 00:00:00 UTC,44818,52809,,
2021-03-27 00:00:00 UTC,34875,44682,,
2021-03-28 00:00:00 UTC,45331,56015,,
2021-03-29 00:00:00 UTC,61687,61855,,
2021-03-30 00:00:00 UTC,63292,63339,,
2021-03-31 00:00:00 UTC,74481,61374,,
2021-04-01 00:00:00 UTC,65637,61374,,
2021-04-02 00:00:00 UTC,50399,56266,,
2021-04-03 00:00:00 UTC,37728,48689,,
2021-04-04 00:00:00 UTC,38304,46862,,
2021-04-05 00:00:00 UTC,80271,65046,,
2021-04-06 00:00:00 UTC,92000,65046,,
2021-04-07 00:00:00 UTC,102814,65046,,
2021-04-08 00:00:00 UTC,70581,65046,,
2021-04-09 00:00:00 UTC,80062,65046,,
2021-04-10 00:00:00 UTC,78231,65046,,
2021-04-11 00:00:00 UTC,102663,65046,,
2021-04-12 00:00:00 UTC,144601,65046,,
2021-04-13 00:00:00 UTC,135681,65046,,
2021-04-14 00:00:00 UTC,109243,65046,,
2021-04-15 00:00:00 UTC,49507,50432,,
2021-04-16 00:00:00 UTC,41263,61438,,
2021-04-17 00:00:00 UTC,31766,46788,,
2021-04-18 00:00:00 UTC,34584,40402,,
2021-04-19 00:00:00 UTC,52311,55364,,
2021-04-20 00:00:00 UTC,52795,60524,,
2021-04-21 00:00:00 UTC,52481,60109,,
2021-04-22 00:00:00 UTC,47280,54915,,
2021-04-23 00:00:00 UTC,41759,57566,,
